********************************************************************************
Field Output Report, written Thu May 28 11:11:24 2015

Source 1
---------

   ODB: C:/Users/ozarraga/Desktop/BeamOnDisk/beamOnDiskMatrix.odb
   Step: presion
   Frame: Increment     10: Step Time =    1.000

Loc 1 : Surface nodal values from source 1 ( Average criteria = 75%, Not averaged across region boundaries )

Output sorted by column "Node Label".

Field Output reported at element nodes for part: BEAM-1

         Element           Facet            Node          CPRESS
            1101               1            1798              0.
            1156               1            1798              0.
            1102               1            1798              0.
            1148               1            1799              0.
             849               1            1799              0.
            1225               1            1799              0.
            1147               1            1799              0.
             271               1            1800              0.
            1017               1            1800              0.
             821               1            1800              0.
             254               1            1800              0.
             363               1            1801              0.
             676               1            1801              0.
             737               1            1801              0.
             686               1            1801              0.
             276               1            1802              0.
             277               1            1802              0.
             679               1            1802              0.
              60               1            1802              0.
             158               1            1803              0.
             783               1            1803              0.
             667               1            1803              0.
             366               1            1803              0.
             693               1            1804              0.
            1033               1            1804              0.
            1010               1            1804              0.
             963               1            1804              0.
             356               1            1805              0.
             963               1            1805              0.
             779               1            1805              0.
             367               1            1805              0.
             980               1            1806              0.
             369               1            1806              0.
            1144               1            1806              0.
             979               1            1806              0.
             370               1            1807              0.
             358               1            1807              0.
             890               1            1807              0.
             989               1            1807              0.
             939               1            1808              0.
              45               1            1808              0.
            1508               1            1808              0.
             371               1            1808              0.
            1503               1            1808              0.
            1149               1            1809              0.
            1375               1            1809              0.
            1150               1            1809              0.
              57               1            1809              0.
             255               1            1810              0.
            1254               1            1810              0.
            1225               1            1810              0.
            1157               1            1810              0.
            1000               1            1811              0.
            1108               1            1811              0.
            1145               1            1811              0.
             243               1            1811              0.
             993               1            1812              0.
            1018               1            1812              0.
             918               1            1812              0.
             270               1            1812              0.
             807               1            1812              0.
             782               1            1813              0.
            1524               1            1813              0.
             270               1            1813              0.
             879               1            1813              0.
             690               1            1814              0.
              61               1            1814              0.
             275               1            1814              0.
             911               1            1814              0.
             380               1            1815              0.
             379               1            1815              0.
               9               1            1815              0.
             636               1            1815              0.
            1232               1            1816              0.
            1171               1            1816              0.
             912               1            1816              0.
             940               1            1816              0.
             161               1            1817              0.
            1579               1            1817              0.
            1172               1            1817              0.
            1152               1            1817              0.
            1151               1            1818              0.
            1233               1            1818              0.
             381               1            1818              0.
              34               1            1818              0.
             964               1            1818              0.
            1492               1            1819              0.
            1314               1            1819              0.
            1584               1            1819              0.
             382               1            1819              0.
            1186               1            1820              0.
            1100               1            1820              0.
            1453               1            1820              0.
            1253               1            1820              0.
            1513               1            1821              0.
            1228               1            1821              0.
            1465               1            1821              0.
            1376               1            1822              0.
              44               1            1822              0.
            1375               1            1822              0.
              55               1            1822              0.
            1456               1            1823              0.
            1255               1            1823              0.
              87               1            1823              0.
            1443               1            1823              0.
            1254               1            1823              0.
            1331               1            1824              0.
            1332               1            1824              0.
            1359               1            1824              0.
            1146               1            1824              0.
             931               1            1825              0.
             994               1            1825              0.
             257               1            1825              0.
             387               1            1825              0.
             846               1            1826              0.
             389               1            1826              0.
             925               1            1826              0.
             983               1            1826              0.
             797               1            1827              0.
             389               1            1827              0.
             857               1            1827              0.
             926               1            1827              0.
              62               1            1828              0.
             681               1            1828              0.
             623               1            1828              0.
             374               1            1828              0.
             767               1            1829              0.
             608               1            1829              0.
             406               1            1829              0.
             407               1            1829              0.
             845               1            1830              0.
             393               1            1830              0.
              12               1            1830              0.
             392               1            1830              0.
            1545               1            1831              0.
               8               1            1831              0.
             873               1            1831              0.
            1088               1            1831              0.
            1251               1            1832              0.
               7               1            1832              0.
            1177               1            1832              0.
            1592               1            1832              0.
            1419               1            1833              0.
            1418               1            1833              0.
             162               1            1833              0.
            1383               1            1833              0.
            1385               1            1834              0.
            1423               1            1834              0.
            1441               1            1834              0.
             395               1            1834              0.
            1415               1            1835              0.
            1323               1            1835              0.
            1422               1            1835              0.
            1474               1            1835              0.
              23               1            1836              0.
            1452               1            1836              0.
            1240               1            1836              0.
            1354               1            1836              0.
             399               1            1837              0.
            1535               1            1837              0.
             398               1            1837              0.
            1401               1            1837              0.
            1243               1            1838              0.
            1351               1            1838              0.
            1564               1            1838              0.
            1327               1            1838              0.
              86               1            1839              0.
            1360               1            1839              0.
            1461               1            1839              0.
            1445               1            1839              0.
            1284               1            1840              0.
            1192               1            1840              0.
            1200               1            1840              0.
            1299               1            1840              0.
             241               1            1840              0.
            1208               1            1841              0.
             258               1            1841              0.
            1553               1            1841              0.
             984               1            1841              0.
             929               1            1842              0.
            1143               1            1842              0.
            1050               1            1842              0.
             251               1            1842              0.
            1525               1            1843              0.
             268               1            1843              0.
             915               1            1843              0.
             731               1            1843              0.
             525               1            1844              0.
             624               1            1844              0.
              63               1            1844              0.
             863               1            1844              0.
             323               1            1845              0.
             524               1            1845              0.
             630               1            1845              0.
             735               1            1845              0.
             832               1            1846              0.
            1224               1            1846              0.
             967               1            1846              0.
             404               1            1846              0.
             166               1            1847              0.
             935               1            1847              0.
             320               1            1847              0.
            1339               1            1848              0.
            1407               1            1848              0.
            1231               1            1848              0.
            1185               1            1848              0.
             314               1            1849              0.
            1408               1            1849              0.
            1446               1            1849              0.
              14               1            1849              0.
            1304               1            1850              0.
             316               1            1850              0.
            1275               1            1850              0.
            1263               1            1850              0.
             285               1            1851              0.
